gg pf ps gs c mdif
1 76 65 1 2 3
2 64.5 80.5 3 1 1
3 63 79.5 2 2 1
4 87.5 65 1 3 1
5 80.5 54.5 0 3 1
6 74 77 1 2 1
7 67.5 80.5 3 0 0
8 74.5 73.5 1 3 1
9 75 91.5 0 1 3
10 90 67.5 1 1 1
11 69.5 67.5 1 1 1
12 57.5 67.5 3 3 1
13 71.5 69 1 2 1
14 81 71.5 1 3 1
15 75.5 71.5 0 1 3
16 63 66 3 4 1
17 61 71 1 2 1
18 78 75.5 2 1 1
19 85.5 70.5 0 1 1
20 60.5 60.5 3 3 0
21 78 74 0 4 3
22 71 70 1 2 1
23 62.5 73.5 3 1 0
24 82 79 0 2 1
25 80 67 0 1 3
26 71 62.5 1 3 1
27 74.5 58.5 1 1 0
28 79.5 70.5 2 2 1
29 66 67 1 3 1
30 72.5 66.5 1 0 1
31 77.5 66 0 1 3
32 52.5 69 3 5 0
33 75 69.5 1 2 1
34 66.5 67 3 3 0
35 80.5 71.5 2 2 3
