gg pf ps gs c mdif
1 87 64.5 0 1 1
2 68 73 1 3 1
3 73.5 68.5 1 2 1
4 70 73 0 1 1
5 66.5 64 0 1 0
6 77 74 1 0 3
7 75 73.5 0 1 3
8 67 63.5 1 1 3
9 69.5 75 1 0 1
10 68 85 1 2 3
11 76 64 1 2 3
12 70.5 76.5 0 3 3
13 69 71.5 0 3 1
14 73.5 62 0 3 3
15 71 76.5 0 1 1
16 73.5 79 0 2 1
17 71 66 2 4 1
18 56.5 79 1 2 1
19 84 76 0 2 3
20 60.5 60.5 1 0 1
21 63.5 74 3 0 1
22 76 76 0 0 3
23 83 67.5 0 4 1
24 67.5 72 0 2 1
25 61.5 78 1 5 0
26 65.5 72.5 1 3 1
27 58.5 74.5 2 3 0
28 59 69 0 2 0
29 67.5 73 0 4 0
30 71 62.5 1 5 1
31 70 67.5 2 1 1
32 72.5 71 1 1 1
33 68 75.5 1 4 1
34 67 66.5 1 4 1
35 71.5 81.5 2 4 1
