gg pf ps gs c mdif
1 75 80.5 3 2 1
2 73 68 2 0 1
3 75 66.5 2 3 3
4 73 79 2 2 1
5 54.5 80.5 0 3 0
6 85.5 65 1 1 1
7 73 56.5 0 3 1
8 62.5 75 2 1 1
9 75 69.5 2 2 1
10 81.5 69 0 0 3
11 73 44.5 1 1 1
12 67.5 57.5 2 1 0
13 78.5 61 0 2 3
14 71.5 74.5 2 3 3
15 69 79.5 0 1 3
16 79 73.5 1 4 3
17 65 63 1 4 1
18 72 83.5 0 0 1
19 70.5 85.5 2 2 0
20 71 79 0 4 1
21 69 67.5 1 2 1
22 71 75.5 0 2 1
23 67.5 83 1 4 3
24 72 80 1 1 0
25 72 86 0 1 1
26 62.5 71 1 3 0
27 75 76 3 4 1
28 69 69.5 2 1 3
29 76 98.5 0 3 3
30 62.5 71 0 3 0
31 65 68 0 1 1
32 62 62.5 1 2 0
33 69.5 75 0 1 3
34 59 68 2 3 0
35 65 77 4 2 1
