Game,Luck Index,team
1,-0.143,enrico
2,-0.714,enrico
3,0.286,enrico
4,0.429,enrico
5,-0.786,enrico
6,-0.143,enrico
7,-0.143,enrico
8,-1.229,enrico
9,2.0,enrico
10,-0.329,enrico
11,-0.143,enrico
12,0.0,enrico
13,-0.8,enrico
14,0.429,enrico
15,0.229,enrico
16,1.714,enrico
17,0.4,enrico
18,0.714,enrico
19,-1.571,enrico
20,0.286,enrico
21,-0.714,enrico
22,-0.943,enrico
23,-0.714,enrico
24,-0.843,enrico
25,0.0,enrico
26,1.0,enrico
27,1.0,enrico
28,-1.1,enrico
29,0.314,enrico
30,1.571,enrico
31,0.429,enrico
32,0.371,enrico
33,0.571,enrico
34,0.286,enrico
35,0.143,enrico
1,0.2,fabio
2,1.143,fabio
3,0.286,fabio
4,-0.743,fabio
5,-0.286,fabio
6,-0.143,fabio
7,-0.271,fabio
8,1.571,fabio
9,-0.143,fabio
10,-0.286,fabio
11,-1.543,fabio
12,0.714,fabio
13,0.0,fabio
14,0.0,fabio
15,2.429,fabio
16,-0.143,fabio
17,1.0,fabio
18,-0.714,fabio
19,0.0,fabio
20,0.286,fabio
21,1.0,fabio
22,0.0,fabio
23,0.429,fabio
24,-2.686,fabio
25,-0.143,fabio
26,-0.386,fabio
27,1.6,fabio
28,2.0,fabio
29,0.429,fabio
30,-0.286,fabio
31,-1.286,fabio
32,1.286,fabio
33,-1.357,fabio
34,2.0,fabio
35,0.0,fabio
1,-0.4,gabriele
2,-0.714,gabriele
3,-1.0,gabriele
4,1.943,gabriele
5,-0.771,gabriele
6,2.143,gabriele
7,0.286,gabriele
8,-0.286,gabriele
9,1.0,gabriele
10,-0.286,gabriele
11,-0.143,gabriele
12,0.443,gabriele
13,-1.4,gabriele
14,-1.286,gabriele
15,0.0,gabriele
16,-0.486,gabriele
17,1.114,gabriele
18,0.714,gabriele
19,-0.771,gabriele
20,-0.429,gabriele
21,-2.2,gabriele
22,-0.143,gabriele
23,-0.714,gabriele
24,0.714,gabriele
25,0.714,gabriele
26,-2.0,gabriele
27,-1.286,gabriele
28,-1.0,gabriele
29,-1.429,gabriele
30,-0.286,gabriele
31,2.514,gabriele
32,-1.129,gabriele
33,0.0,gabriele
34,-1.0,gabriele
35,-0.857,gabriele
1,0.714,gianluca
2,0.0,gianluca
3,-0.143,gianluca
4,0.0,gianluca
5,0.0,gianluca
6,-1.971,gianluca
7,-0.857,gianluca
8,-1.829,gianluca
9,-2.0,gianluca
10,0.0,gianluca
11,-0.8,gianluca
12,0.0,gianluca
13,2.0,gianluca
14,0.0,gianluca
15,-2.171,gianluca
16,-0.543,gianluca
17,-0.286,gianluca
18,2.286,gianluca
19,0.286,gianluca
20,0.571,gianluca
21,0.4,gianluca
22,3.457,gianluca
23,0.0,gianluca
24,0.8,gianluca
25,0.714,gianluca
26,1.0,gianluca
27,1.0,gianluca
28,0.0,gianluca
29,0.914,gianluca
30,0.571,gianluca
31,0.0,gianluca
32,-0.429,gianluca
33,0.571,gianluca
34,0.1,gianluca
35,0.714,gianluca
1,0.0,giulio
2,-0.714,giulio
3,1.143,giulio
4,-1.4,giulio
5,2.429,giulio
6,1.229,giulio
7,-1.171,giulio
8,2.171,giulio
9,-1.0,giulio
10,-0.286,giulio
11,0.857,giulio
12,-0.857,giulio
13,-1.214,giulio
14,1.714,giulio
15,-1.571,giulio
16,-2.571,giulio
17,1.0,giulio
18,0.0,giulio
19,0.286,giulio
20,0.571,giulio
21,0.0,giulio
22,-1.286,giulio
23,0.0,giulio
24,-0.243,giulio
25,-0.143,giulio
26,-0.286,giulio
27,-0.286,giulio
28,0.0,giulio
29,-0.286,giulio
30,0.571,giulio
31,-1.286,giulio
32,-2.029,giulio
33,-0.857,giulio
34,-0.2,giulio
35,-0.857,giulio
1,-1.714,luca
2,1.143,luca
3,1.143,luca
4,-1.857,luca
5,-0.286,luca
6,0.0,luca
7,0.286,luca
8,-0.286,luca
9,1.0,luca
10,0.714,luca
11,0.857,luca
12,0.714,luca
13,0.0,luca
14,0.314,luca
15,-0.571,luca
16,0.0,luca
17,-0.086,luca
18,-0.714,luca
19,-0.429,luca
20,-1.857,luca
21,-0.314,luca
22,0.757,luca
23,-0.714,luca
24,-1.143,luca
25,-1.429,luca
26,-0.286,luca
27,-2.8,luca
28,0.1,luca
29,-2.143,luca
30,-0.286,luca
31,-0.543,luca
32,0.671,luca
33,-0.857,luca
34,0.0,luca
35,0.0,luca
1,0.714,matteo
2,0.286,matteo
3,-1.0,matteo
4,3.2,matteo
5,-0.471,matteo
6,-0.771,matteo
7,1.429,matteo
8,0.571,matteo
9,0.0,matteo
10,0.714,matteo
11,-0.943,matteo
12,-0.457,matteo
13,-1.114,matteo
14,-0.429,matteo
15,0.286,matteo
16,2.514,matteo
17,-1.286,matteo
18,0.0,matteo
19,-0.471,matteo
20,1.143,matteo
21,1.0,matteo
22,-1.943,matteo
23,1.143,matteo
24,2.057,matteo
25,1.571,matteo
26,0.0,matteo
27,-0.686,matteo
28,0.629,matteo
29,0.0,matteo
30,-1.429,matteo
31,0.214,matteo
32,-0.429,matteo
33,2.143,matteo
34,-1.0,matteo
35,0.143,matteo
1,-0.143,riccardo
2,0.286,riccardo
3,-0.143,riccardo
4,-0.143,riccardo
5,0.429,riccardo
6,-0.471,riccardo
7,-0.143,riccardo
8,-0.586,riccardo
9,-0.143,riccardo
10,-0.629,riccardo
11,0.4,riccardo
12,-0.857,riccardo
13,0.986,riccardo
14,-1.486,riccardo
15,0.286,riccardo
16,-0.186,riccardo
17,-2.2,riccardo
18,-1.214,riccardo
19,2.143,riccardo
20,-0.429,riccardo
21,0.586,riccardo
22,-1.286,riccardo
23,1.143,riccardo
24,3.257,riccardo
25,-0.857,riccardo
26,1.914,riccardo
27,1.414,riccardo
28,-0.2,riccardo
29,1.571,riccardo
30,0.571,riccardo
31,-0.143,riccardo
32,0.571,riccardo
33,1.571,riccardo
34,0.286,riccardo
35,0.714,riccardo
