gg pf ps gs c mdif
1 80.5 75 2 2 0
2 80.5 64.5 0 1 1
3 68.5 73.5 1 1 0
4 67.5 65.5 0 2 1
5 68.5 69 1 3 0
6 72.5 72 0 2 1
7 74 65 1 4 1
8 75 62.5 0 2 3
9 91.5 75 0 2 6
10 85 68 0 5 3
11 77.5 78.5 4 0 3
12 70.5 69 0 2 1
13 70 66.5 2 1 0
14 70.5 79.5 1 2 1
15 79.5 69 0 1 3
16 66 63 1 3 1
17 66 71 0 4 1
18 90.5 72 0 3 3
19 79 79.5 0 1 6
20 70.5 57.5 1 2 1
21 73.5 67.5 1 3 3
22 75.5 71 0 0 1
23 73.5 62.5 1 3 1
24 72 67.5 3 0 1
25 74 61.5 2 1 1
26 83.5 72.5 0 1 1
27 64.5 61 2 2 1
28 72.5 68 1 1 3
29 98.5 76 0 1 3
30 66.5 72.5 0 2 1
31 67.5 70 1 1 1
32 63 69.5 1 3 1
33 68.5 60.5 1 2 1
34 67 73.5 0 2 1
35 72.5 72.5 0 1 1
