gg pf ps gs c mdif
1 64.5 87 1 0 0
2 79 66 0 0 1
3 60 78 1 0 0
4 65 87.5 3 1 1
5 76.5 62.5 0 1 1
6 72 72.5 1 0 1
7 56.5 73 2 2 1
8 63.5 67 1 2 1
9 59 72 1 2 0
10 71.5 71 1 3 1
11 67.5 69.5 1 1 1
12 67 73.5 0 1 0
13 66.5 70 3 1 1
14 74.5 71.5 3 1 0
15 76.5 71 1 3 3
16 69.5 70 0 1 1
17 74 78 1 3 3
18 75.5 78 0 2 3
19 73.5 58.5 3 3 0
20 57.5 70.5 3 3 0
21 67.5 69 1 3 0
22 76 76 0 0 3
23 75.5 70.5 1 0 1
24 71 69.5 3 3 1
25 67 80 3 0 1
26 70 65.5 0 2 0
27 61 64.5 0 0 0
28 69.5 69 1 0 1
29 73 67.5 2 2 3
30 71.5 61.5 1 3 1
31 64 72.5 0 1 1
32 69 52.5 2 1 1
33 73 70.5 1 1 3
34 73.5 67 1 1 1
35 77 65 1 1 3
