gg pf ps gs c mdif
1 75 69.5 1 2 0
2 79.5 84 1 2 0
3 74 77.5 1 3 1
4 58 73 0 5 0
5 89.5 78.5 0 4 0
6 73 75 1 3 0
7 80 82 1 0 1
8 75 77.5 1 1 1
9 82 70.5 0 2 0
10 75 84 0 2 1
11 64 68 3 1 1
12 79 70 1 2 0
13 71 76.5 2 3 0
14 65 98.5 1 2 1
15 84 76 0 2 3
16 69 73.5 0 2 1
17 79.5 70.5 0 1 1
18 79 69 0 4 1
19 80 79 0 2 3
20 77.5 70.5 0 1 0
21 68.5 72.5 1 1 0
22 73.5 75.5 0 1 1
23 61.5 66.5 4 1 1
24 71 79 1 0 1
25 76.5 79.5 1 1 0
26 67 69.5 2 1 0
27 66 85 1 5 0
28 71 74.5 1 1 0
29 70.5 81 1 0 0
30 76 81 1 0 3
31 75.5 71 1 3 0
32 72 84.5 1 1 3
33 90.5 70.5 1 0 3
34 73 72.5 4 2 1
35 81 68.5 0 0 1
