gg pf ps gs c mdif
1 73 64 0 1 0
2 71 82.5 1 2 0
3 78.5 80 1 1 2
4 69.5 70.5 1 2 0
5 68.5 65.5 3 4 1
6 64.5 69 1 3 0
7 69 62.5 1 1 0
8 73 80.5 1 0 0
9 71.5 68.5 2 5 0
10 66 76.5 2 0 0
11 80.5 73.5 2 3 0
12 75 76 0 3 0
13 70.5 90.5 4 3 0
14 78.5 75 3 3 2
15 83 72 1 0 1
16 83 85.5 0 1 2
17 70.5 70.5 1 0 2
18
19 83 77.5 6 1 2
20 87.5 82.5 0 1 0
21 66.5 80.5 1 2 0.5
22 76 64 0 2 2
23 70.5 72 1 1 0
24 70 62 1 2 0.5
25 76.5 70 1 1 0.5
26 75.5 78.5 1 3 2
27 67 74.5 0 4 1
28 81.5 77.5 1 0 2
29 83 73 1 1 1
30 78 90.5 1 0 2
31 74.5 68.5 0 2 1
32 67.5 72.5 2 0 0.5
