gg pf ps gs c mdif
1 73 78 1 0 1
2 67.5 62 0 1 0.5
3 71.5 83 1 0 1
4 79.5 72.5 1 1 0.5
5 64.5 76.5 2 3 0
6 75 75 0 4 2
7 71.5 67.5 0 3 1
8 66.5 75.5 0 4 1
9 71 59.5 0 2 0.5
10 67.5 65.5 2 0 0.5
11 70 69 1 1 0.5
12 70 81.5 2 1 2
13 66 76.5 2 0 1
14 67.5 70.5 0 2 1
15 67 62.5 1 0 1
16 66 75 0 1 0.5
17 73.5 66.5 0 0 2
18 70 75 0 2 1
19 78 71 0 0 2
20 68 67 0 1 1
21 67 71.5 2 0 1
22 66.5 67.5 0 2 1
23 58.5 74.5 4 0 0.5
24 68 67 1 2 0.
25 73 73 0 0 0.5
26 80 75 0 0 0.5
27 83 77 1 2 3
28 74 84.5 1 2 2
29 70 70 1 1 1
30 72.5 66 1 2 1
