gg pf ps gs c mdif
1 77 72 3 3 0
2 67.5 57.5 1 2 0
3 79 68.5 4 2 0
4 73.5 65.5 0 1 0
5 69.5 78.5 2 2 0
6 77 68 1 3 0
7 65 70 1 3 0
8 69.5 71.5 0 0 0
9 64.5 70.5 0 1 0
10 82 62 1 2 0
11 68 82 4 1 0
12 65 75.5 1 3 1
13 71.5 69.5 0 2 0
14 87.5 72 1 2 0
15 82 68.5 0 2 0
16 71.5 79.5 1 1 0
17 76.5 86 1 4 0
18 74 62.5 2 4 1
19 80.5 68.5 0 1 3
20 79 65 2 2 1
21 78.5 75 0 1 0
22 76 77 1 1 1
23 81 73.5 0 1 0
24 78.5 72 0 1 0
25 81.5 74 0 0 1
26 64.5 80 1 3 0
27 77.5 75.5 0 1 1
28 64.5 70.5 4 1 0
29 77.5 75 2 1 0
30 78 85.5 3 2 0
31 73 75 1 0 0
32 62.5 72.5 2 0 0
33 68 73 0 3 0
