gg pf ps gs c mdif
1 82 77.5 1 1 1
2 63.5 67 1 3 0
3 68.5 79 1 1 0
4 67.5 79.5 0 3 1
5 79.5 76.5 0 2 3
6 69.5 77 1 1 1
7 75 65 0 1 1
8 71.5 69.5 1 1 0
9 74.5 80 0 2 1
10 70.5 82.5 1 1 1
11 60 69 2 1 0
12 64 65 1 1 1
13 69.5 71.5 2 3 1
14 77.5 86 1 3 1
15 72 75 0 1 0
16 62 68.5 1 2 0
17 66.5 72 1 1 1
18 62.5 74 0 0 0
19 80 87.5 2 2 0
20 69 68 3 4 0
21 75.5 66.5 0 2 3
22 69.5 76.5 1 2 1
23 73.5 81 1 0 1
24 68.5 76 0 1 1
25 72 71 1 0 1
26 74 76 2 1 1
27 65 80.5 2 1 1
28 70.5 64.5 2 2 1
29 78.5 67 1 1 3
30 73 68.5 1 0 1
31 71 61 1 2 1
32 63.5 78.5 2 1 1
33 73 68 0 2 3
34 79 81 2 1 1
